award_id,contract_description,auto_match_eis_title,auto_match_score,confirmed_eis_title,notes
AG6395D090661,TASK ORDER TO FORMAT AN ENVIRONMENTAL IMPACT STATEMENT FOR THE DEREGULATION OF GENETICALLY ENGINEERED ROUNDUP READY ALFA,"Revisions to USDA-APHIS 7 CFR part 340 Regulations Governing the Importation, Interstate Movement, and Environmental Rel",0.39,,
AG9AB5K170019,IGF::OT::IGF PLANNING SUPPORT FOR ENVIRONMENTAL IMPACT STATEMENT AS OUTLINED IN SOW,Clearwater National Forest Travel Planning Project Proposes to Manage Motorized and Mechanized Travel Clearwater Nationa,0.43,,
INF11PD00291,"EDITING, LAYOUT AND PROOF READING OF THE ARCTIC NWR COMPREHENSIVE CONSERVATION PLAN AND ENVIRONMENTAL IMPACT STATEMENT.",Lewis and Clark National Wildlife Refuge and Julia Butler Hansen Refuge for the Columbian White-tailed Deer Comprehensiv,0.35,,
W912HQ25P0094,IWR - INDEPENDENT EXTERNAL PEER REVIEW IEPR FOR MATAGORDA SHIP CHANNEL IMPROVEMENTS INTEGRATED POST AUTHORIZATION CHANGE,American River Watershed Common Features Project/ Natomas Post-Authorization Change Report/Natomas Levee Improvement Pro,0.39,,
GSP0316AZ7125,IGF::OT::IGF ENVIRONMENTAL IMPACT STATEMENT IN SUPPORT OF THE CONSTRUCTION OF A NEW FEDERAL FACILITY FOR THE OFFICE OF P,Calico Solar Project Solar Thermal Electricity Generation Facility Located Public Lands Construction and Operation Right,0.43,,
NRCDR090278,NRR PUBLIC MEETING: GENERIC ENVIRONMENTAL IMPACT STATEMENT,Generic - License Renewal of Nuclear Plants Regarding Cooper Nuclear Station Unit 1 Supplement 41 to NUREG-1437 Nemaha C,0.35,,
NRCDR090274,NRR PUBLIC MEETING: GENERIC ENVIRONMENTAL IMPACT STATEMENT,Generic - License Renewal of Nuclear Plants Regarding Cooper Nuclear Station Unit 1 Supplement 41 to NUREG-1437 Nemaha C,0.35,,
NRCDR100112,"PROCUREMENT OF CONFERENCE SPACE AND AV EQUIPMENT FOR NRO'S ""DRAFT ENVIRONMENTAL IMPACT STATEMENT PUBLIC MEETING FOR THE ",North Anna Power Station Unit 3 Application for Combined License (NUREG-1917),0.35,,
AG6395D120282,BRS SUGAR BEETS: ENVIRONMENTAL IMPACT STATEMENT,Glyphosate -Tolerant H7-1 Sugar Beet Request for Nonregulated Status United States,0.43,,
GS01P06BZC0042,A/E SERVICES TO PERFORM SITE VISIT AND REVIEW OF DRAFT ENVIRONMENTAL IMPACT STATEMENT FOR THE PROSPECTIVE LAND PORT OF E,Calexico West Land Port of Entry in Calexico Expansion of Reconfiguration Implementation CA,0.43,,
140R3023F0037,EIS - POST-2026 LOWER COLORADO RIVER RESERVOIR OPERATIONAL STRATEGIES FOR LAKE POWELL AND LAKE MEAD,Post-2026 Colorado River Reservoir Operations,0.45,,
140R3023F0110,FEASIBILITY REPORT AND EIS - VRSMP,Auburn State Recreation Area Preliminary General Plan AND Auburn Project Lands Draft Resource Management Plan Draft Envi,0.43,,
INP11PD00517,GOGA ALCATRAZ TRANSPORTATION EIS,Jackson Hole Airport Use Agreement Extension Project To Enable Continued Air Transportation Services Grand Teton Nationa,0.43,,
140L0618F0068,GSENM NATIONAL MONUMENT RMPS AND EIS,Ironwood Forest National Monument Resource Management Plan Implementation Tucson Field Office AZ,0.43,,
VA101F14J0102,"IGF::OT::IGF  ENVIRONMENTAL AND HISTORIC IDIQ BHHCS EIS, SOUTH DAKOTA",South Dakota PrairieWinds Project Proposes to Construct Own Operate and Maintain a 151.5 megawatt (MW) Nameplate Capacit,0.40,,
140L0619F0371,EIS REVISION/BLM GRAZING REGULATION,Vegetation Treatments Using Herbicides on Bureau of Land Management (BLM) Lands in Oregon Implementation OR,0.35,,
VA101F15J0258,"IGF::OT::IGF EIS FOR LOUISVILLE KY REPLACEMENT VAMC LOUISVILLE, KY",Replacement Robley Rex VA Medical Center,0.43,,
140P2024F0418,SEKI 335342 - EIS FOR FIRE MANAGEMENT,Fire Island National Seashore Final White-tailed Deer Management Plan,0.43,,
INF11PD03423,ARCTIC NWR COMMENT ANALYSIS FOR DRAFT EIS,Arctic National Wildlife Refuge,0.43,,
INL16PD00379,IGF::OT::IGF  COAL PEIS FACILITATION,Wright Area Coal Lease Project Applications for Leasing Six Tracts of Federal Coal Reserves Adjacent to the Black Thunde,0.43,,
INP15PD01043,IGF::OT::IGF - EPREF ISLE ROYALE MOOSE-WOLF-VEGETATION MANAGEMENT PLAN/EIS (ISRO 211612),Isle Royale National Park Wilderness and Backcountry Management Plan Implementation MI,0.35,,
INL10PD04445,ARRA PROJECT ETHNOGRAPHY FOR SOLAR PEIS TAS::14 1108::TAS,Final Programmatic Environmental Impact Statement (PEIS) for Solar Energy Development in Six Southwestern States,0.43,,
INF15PD00731,"""""IGF::OT::IGF"""" - PROGRAMMATIC EIS - NEPA MIGRATORY BIRD INCIDENTAL TAKE RULE PROJECT - R9 HQ DIV OF MIGRATORY BIRD MAN",Southeastern Lincoln County Habitat Conservation Plan Application Package for Three Incidental Take Permits Authorize th,0.35,,
INL07PD04201,NPR-A IAP/EIS SUPPLEMENT,National Petroleum Reserve-Alaska (NPR-A) Integrated Activity Plan North Slope Borough AK,0.43,,
INPA2000075006,PHASE IV ELK MNGMT EIS,Theodore Roosevelt National Park Elk Management Plan Implementation Billing and McKenzie Counties ND,0.43,,
140P2020F0323,YELL 198025 BISON EIS,Remote Vaccination Program to Reduce the Prevalence of Brucellosis in Yellowstone Bison,0.43,,
AG82X9D070181,"WHITE RIVER NATIONAL FOREST OIL AND GAS LEASING EIS, PROCLAIMED WHITE RIVER NATIONAL FOREST BOUNDARY.  CLAUSE 52.222-50,",White River National Forest Oil and Gas Leasing,0.43,,
INP17PD00324,"IGF::OT::IGF X:NOGRN, SERVICE, UNGULATE MGMT PLAN AND EIS GREAT SAND DUNES NATIONAL PARK&PRESERVE UNGULATE MGMT PLAN AND","Great Sand Dunes National Park and Preserve, Draft Ungulate Management Plan",0.39,,
INP13PD02533,IGF::OT::IGF EQD YELL BISON CONSERVATION PLAN EIS,Remote Vaccination Program to Reduce the Prevalence of Brucellosis in Yellowstone Bison,0.35,,
INP17PD02151,IGF::OT::IGF BIG SOUTH FORK NATIONAL RIVER AND RECREATION AREA COAL MINE DRAINAGE MITIGATION AND TREATMENT SYSTEMS EIS B,Big South Fork National River and Recreation Area Obed Wild and Scenic River Non-Federal Oil and Gas Management Plan Imp,0.47,,
AG9360D080013,BIOLOGICAL AND CULTURAL STUDIES FOR GEOTHERMAL EIS,Boise National Forest Project Proposed Amendments to the Land and Resource Management Plan Wildlife Conservation Strateg,0.35,,
140L1218F0078,OCOTILLO WELLS EIS NEPA,Salt Wells Energy Projects Proposal for Three Separate Geothermal Energy and Transmission Projects Implementation Church,0.43,,
INP10PX76937,PROVIDE TECHNICAL SUPPORT TO ASSIST THE NPS NEPA COMPLIANCE ACTIVITIES FOR THE DENALI PARK ROAD VEHICLE MANAGEMENT PLAN ,Denali Park Road Final Vehicle Management Plan Implementation Denali National Park and Preserve AK,0.37,,
140P2018F0048,OLYMPIC NATIONAL PARK NON-NATIVE MOUNTAIN GOAT MANAGEMENT PLAN/ EIS OLYM 184957  CO: JASON LONGSHORE  CS: SARAH CLEMMENS,Olympic National Park Draft Mountain Goat Management Plan,0.37,,
INPD1274080908,"COMPLETE SEIS, CHAPTER 4, PADRE ISLAND NATIONAL SEASHORE",Fire Island National Seashore Final White-tailed Deer Management Plan,0.43,,
AG9A47D070007,MT. ASHLAND LSR PROJECT FEIS AND ROD,Beaver Creek Landscape Management Project Vegetation Treatment Implementation Ashland Ranger District Custer National Fo,0.35,,
INPT2310067172,FINALIZE MOUNTAIN LAKES FISHEREY EIS FOR NORTH CASCADES N.P.,"Stehekin River Corridor Implementation Plan, Lake Chelan National Recreation Area, North Cascades National Park",0.43,,
INPT2310067171,FINAL (PHASE 4) EIS DOCUMENT FOR MOUNTAIN LAKES FISHERY @ NORTH CASCADES N.P.,"Stehekin River Corridor Implementation Plan, Lake Chelan National Recreation Area, North Cascades National Park",0.39,,
GSP0313DX0003,AMERICAN RECOVERY AND REINVESTMENT ACT (ARRA) TO EXPAND THE SCOPE OF THE AD508 COMPLIANCE TO INCLUDE ALL APPENDICES OF T,U.S. Department of State Foreign Affairs Security Training Center,0.35,,
INF134209M096,PALOMAR PIPELINE PROJECT ADMINISTRATIVE DRAFT EIS REPORT,Draft Environmental Impact Statement/Supplemental Environmental Impact Report for the  Proposed  Upper Santa Ana River W,0.35,,
INPP2000060080,"ENVIRONMENT AND ENVIRONMENTAL CONSEQUENCES SECTIONS, GMP/EIS",Yosemite National Park Project Construction of Yosemite Institute Environment Education Campus Implementation Mariposa C,0.35,,
